"Course ID","Course Title","Credits","Core Code","Subject"
"01:013:201","CLASSICAL LITERATURES OF AFRICA, THE MIDDLE EAST, AND SOUTH ASIA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:203","LANGUAGE & SOCIETY IN AFRICA, THE MIDDLEEAST, AND SOUTH ASIA","3","AHo,AHq","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:206","BANNED BOOKS","4","AHo,CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:210","WORLD LITERATURE AND SOCIAL CHANGE","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:211","INTRO LIT OF AFRICA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:221","INTRODUCTION TO THE LITERATURES OF THE MIDDLE EAST","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:229","WAR AND LITERATURE IN THE ARAB WORLD","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:231","INTRO LIT OF SO ASIA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:232","WOMEN WRITERS OF SOUTH ASIA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:307","INTRODUCTION TO POSTCOLONIAL LITERATURESAND THEORIES","3","AHo,AHp,CCD,CCO","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:312","AFRICN FOLKLORE&MYTH","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:314","ISLAM AND AFRICIAN LITERATURE","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:322","MIDEAST FOLKLORE/MTH","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:331","MOD LIT SOUTH ASIA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:346","LITERATURE AND MEMORY IN THE ARAB WORLD","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:050:101","INTRODUCTION TO AMERICAN STUDIES","3","AHo,AHp","American Studies"
"01:050:240","LATINO LITERATURE AND CULTURE","3","AHo,WCr","American Studies"
"01:050:248","NATIVE AMERICAN EXPERIENCE","3","AHo,CCD","American Studies"
"01:050:259","POPULAR CULTURE","3","AHo,AHp","American Studies"
"01:050:263","AMERICAN FOLKLORE","3","AHo,AHp","American Studies"
"01:070:217","PSYCHOLOGY & CULTURE","3","AHo","Anthropology"
"01:082:203","SACRED SITES MATERIALIZING AND          EXPERIENCING THE DIVINE","3","AHo,AHp","Art History"
"01:082:204","ART AND POWER: THE VISUAL AND LITERARY  CULTURE OF THE SOVIET CENTURY","3","AHo,AHp","Art History"
"01:082:220","CRITICAL ISSUES IN ART HISTORY","3","AHo","Art History"
"01:082:276","RADICAL MODERNISM AND ANTI-ART","3","AHo,AHp","Art History"
"01:090:145","SAS CORE - AHO - ARTS AND HUMANITIES    - PHILOSOPHICAL AND THEORETICAL ISSUES","3","AHo","Arts and Sciences"
"01:165:220","CHINESE CLASSICS & THOUGHT:CONFUCIANISM,DAOISM & BUDDHISM","3","AHo,HST","Chinese"
"01:175:360","CLASSICS OF GERMAN CINEMA: FROM HAUNTED SCREEN TO HYPERREALITY","3","AHo","Cinema Studies"
"01:185:253","HUMAN NATURE AND HUMAN DIVERSITY","4","AHo,CCD,CCO","Cognitive Science"
"01:190:205","GREEK CIVILIZATION","3","AHo,AHp,HST","Classics"
"01:190:206","ROMAN CIVILIZATION","3","AHo,AHp,HST","Classics"
"01:190:211","GREEK AND ROMAN RELIGION","3","AHo,HST","Classics"
"01:195:201","LITERATURE ACROSS BORDERS","3","AHo,AHp","Comparative Literature"
"01:195:206","BANNED BOOKS","4","AHo,CCD","Comparative Literature"
"01:195:220","OUR WORLD: SOCIAL JUSTICE AND THE ENVIRONMENT","3","AHo,CCD","Comparative Literature"
"01:195:221","INTRODUCTION TO THE LITERATURES OF THE  MIDDLE EAST","3","AHo,AHp","Comparative Literature"
"01:195:227","TALES OF HORROR","3","AHo,AHp","Comparative Literature"
"01:195:232","WOMEN WRITERS OF SOUTH ASIA","3","AHo,AHp","Comparative Literature"
"01:195:243","INTRODUCTION TO THE LITERATURES OF SOUTH ASIA","3","AHo,AHp","Comparative Literature"
"01:195:247","PSY FI:  LITERATURE AND PSYCHOANALYSIS","3","AHo,AHp","Comparative Literature"
"01:195:249","MODERN LITERATURES OF SOUTH ASIA","3","AHo,AHp","Comparative Literature"
"01:195:256","INTRODUCING VENICE","3","AHo,AHp","Comparative Literature"
"01:195:265","ART AND POWER: VISUAL AND LITERARY      CULTURE OF THE SOVIET CENTURY","3","AHo,AHp","Comparative Literature"
"01:195:270","PAST TODAY","3","AHo,AHp,CCD,CCO","Comparative Literature"
"01:195:277","RADICAL MODERNISM AND ANTI-ART","3","AHo,AHp","Comparative Literature"
"01:195:296","A CULTURAL HISTORY OF ARTIFICIAL        INTELLIGENCE","3","AHo,CCO","Comparative Literature"
"01:195:301","INTRODUCTION TO LITERARY THEORY","3","AHo","Comparative Literature"
"01:195:307","INTRO. TO POSTCOLONIAL LITERATURES & THEORIES","3","AHo,AHp,CCD,CCO","Comparative Literature"
"01:195:311","DOSTOEVSKY","3","AHo,AHp","Comparative Literature"
"01:195:312","RUSSIAN AND EAST EUROPEAN SCIENCE FICTION","3","AHo","Comparative Literature"
"01:195:314","GERMAN AND COMPARATIVE LITERATURE","3","AHo,AHp,WCd","Comparative Literature"
