"Course ID","Course Title","Credits","Core Code","Subject"
"01:013:111","THE BIBLE IN ARAMAIC","3","AHp,HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:201","CLASSICAL LITERATURES OF AFRICA, THE MIDDLE EAST, AND SOUTH ASIA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:210","WORLD LITERATURE AND SOCIAL CHANGE","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:211","INTRO LIT OF AFRICA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:221","INTRODUCTION TO THE LITERATURES OF THE MIDDLE EAST","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:229","WAR AND LITERATURE IN THE ARAB WORLD","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:231","INTRO LIT OF SO ASIA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:232","WOMEN WRITERS OF SOUTH ASIA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:307","INTRODUCTION TO POSTCOLONIAL LITERATURESAND THEORIES","3","AHo,AHp,CCD,CCO","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:311","WOMEN WRITERS OF AFRICA","3","AHp,CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:312","AFRICN FOLKLORE&MYTH","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:314","ISLAM AND AFRICIAN LITERATURE","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:322","MIDEAST FOLKLORE/MTH","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:325","WOMEN WRITERS OF THE ARAB WORLD","3","AHp,CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:331","MOD LIT SOUTH ASIA","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:346","LITERATURE AND MEMORY IN THE ARAB WORLD","3","AHo,AHp","African, Middle Eastern, and South Asian Languages and Literatures"
"01:014:250","AFRICAN DIASPORA CULTURAL HISTORY","3","AHp","Africana Studies"
"01:016:363","WOMEN WRITERS OF AFRICA","3","AHp,CCD","African Studies"
"01:050:101","INTRODUCTION TO AMERICAN STUDIES","3","AHo,AHp","American Studies"
"01:050:203","THE AMERICAN WEST","3","AHp","American Studies"
"01:050:210","THE AMERICAN DREAM","4","AHp,CCD","American Studies"
"01:050:215","SPRINGSTEEN'S AMERICAN VISION","3","AHp","American Studies"
"01:050:227","19TH CENTURY AMERICAN LITERATURE AND CULTURE","3","AHp","American Studies"
"01:050:228","THE CONTEMPORARY AMERICAN","3","AHp,SCL","American Studies"
"01:050:259","POPULAR CULTURE","3","AHo,AHp","American Studies"
"01:050:260","ON THE ROAD: MOBILITY IN AMERICA","3","AHp","American Studies"
"01:050:263","AMERICAN FOLKLORE","3","AHo,AHp","American Studies"
"01:050:264","AMERICAN FOLKLIFE","3","AHp","American Studies"
"01:050:316","TWENTY-FIRST CENTURY EXPRESSION: ON AND OFF THE NET","3","AHp,CCO","American Studies"
"01:050:355","MUSEUMS, MONUMENTS, AND AMERICAN CULTURE","3","AHp","American Studies"
"01:070:219","ANTHROPOLOGY OF MUSIC","3","AHp","Anthropology"
"01:082:101","BUILDING THE FUTURE: AN INTRODUCTION TO ARCHITECTURE","3","AHp,CCO","Art History"
"01:082:105","INTRODUCTION TO ART HISTORY: PREHISTORY TO 1400","3","AHp,HST","Art History"
"01:082:106","INTRODUCTION TO ART HISTORY:1400 TO THE PRESENT","3","AHp,HST","Art History"
"01:082:107","SURVEY OF NON-WESTERN ART","3","AHp,HST","Art History"
"01:082:203","SACRED SITES MATERIALIZING AND          EXPERIENCING THE DIVINE","3","AHo,AHp","Art History"
"01:082:204","ART AND POWER: THE VISUAL AND LITERARY  CULTURE OF THE SOVIET CENTURY","3","AHo,AHp","Art History"
"01:082:214","RENAISSANCE ART IN EUROPE","3","AHp,HST","Art History"
"01:082:253","CONTEMP PHOTOGRAPHY","3","AHp,WCd,WCr","Art History"
"01:082:275","CINEMA AND THE CITY","3","AHp","Art History"
"01:082:276","RADICAL MODERNISM AND ANTI-ART","3","AHo,AHp","Art History"
"01:082:277","ART AND MEDICINE","3","AHp,HST","Art History"
"01:082:306","ROMAN ART","3","AHp","Art History"
"01:082:332","AFRICAN AMERICAN ART","3","AHp,CCD","Art History"
"01:090:146","SAS CORE - AHP - ARTS AND HUMANITIES -  ARTS AND LITERATURES","3","AHp","Arts and Sciences"
"01:098:255","HEROISM","4","AHp,CCO","Asian Studies"
"01:165:215","INTRODUCTION TO CHINESE CIVILIZATION","3","AHp,HST","Chinese"
"01:165:242","CLASSICAL CHINESE POPULAR FICTION & DRAMA IN TRANSLATION","3","AHp","Chinese"
"01:165:310","MODERN CHINESE LITERATURE IN TRANSLATION","3","AHp,WCd","Chinese"
"01:175:201","INTRODUCTION TO FILM I","3","AHp","Cinema Studies"
"01:175:202","INTRODUCTION TO FILM II","3","AHp","Cinema Studies"
