"Course ID","Course Title","Credits","Core Code","Subject"
"01:013:204","INTRODUCTION TO DISCOURSE ANALYSIS","3","CCD,SCL","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:205","CULTURAL FORCES IN INTERNATIONAL POLITICS","3","CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:206","BANNED BOOKS","4","AHo,CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:217","AFRICAN IMMIGRANT LITERATURE","3","CCD,HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:225","GLOBAL ARABIC","3","AHq,CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:226","RHYTHMS OF RESISTANCE: GLOBAL HIP HOP","3","CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:285","LANGUAGE AND GLOBALIZATION","3","CCD,CCO","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:304","INTRODUCTION TO TRANSLATION STUDIES","3","CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:307","INTRODUCTION TO POSTCOLONIAL LITERATURESAND THEORIES","3","AHo,AHp,CCD,CCO","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:308","MINORITIES IN THE MIDDLE EAST","3","CCD,HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:311","WOMEN WRITERS OF AFRICA","3","AHp,CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:325","WOMEN WRITERS OF THE ARAB WORLD","3","AHp,CCD","African, Middle Eastern, and South Asian Languages and Literatures"
"01:014:103","INTRODUCTION TO AFRICANA STUDIES","3","CCD","Africana Studies"
"01:014:203","BLACK EXPERIENCE IN AMERICA","3","CCD","Africana Studies"
"01:014:207","BLACK MALE IDENTITY IN THE UNITED STATES","3","CCD","Africana Studies"
"01:014:214","FEELING RACE: THE EMOTIONAL POLITICS OF RACE","3","CCD","Africana Studies"
"01:014:264","BLACK LIVES MATTER","3","CCD","Africana Studies"
"01:014:305","RACE, INTERNATIONAL LAW AND EMPIRE","3","CCD","Africana Studies"
"01:014:353","BLACK COMMUNITY LAW AND SOCIAL CHANGE","3","CCD","Africana Studies"
"01:016:363","WOMEN WRITERS OF AFRICA","3","AHp,CCD","African Studies"
"01:050:102","INTRODUCTION TO RACE AND ETHNICITY IN AMERICA","3","CCD","American Studies"
"01:050:210","THE AMERICAN DREAM","4","AHp,CCD","American Studies"
"01:050:223","LEARNING FROM THE PAST: EARLY AMERICA AND THE 21ST CENTURY","3","CCD,HST","American Studies"
"01:050:245","ASIAN AMERICAN EXPERIENCE","3","CCD","American Studies"
"01:050:246","THE BLACK EXPERIENCE IN AMERICA","3","CCD","American Studies"
"01:050:248","NATIVE AMERICAN EXPERIENCE","3","AHo,CCD","American Studies"
"01:050:271","IMMIGRANT STATES","3","CCD,SCL","American Studies"
"01:050:357","AMERICAN BODIES","3","CCD","American Studies"
"01:070:111","EXTINCTION","4","CCD,CCO,NS,SCL","Anthropology"
"01:070:220","POLITICS OF FOOD AND SEX","3","CCD","Anthropology"
"01:070:223","ANTHRO OF LATIN AMER","3","CCD","Anthropology"
"01:070:224","CAPITALISM AND DEBT","3","CCD","Anthropology"
"01:070:225","GENDER IN GLOBAL PERSPECTIVE","3","CCD","Anthropology"
"01:070:242","ANTHROPOLOGY OF THE MIDDLE EAST","3","CCD","Anthropology"
"01:070:248","ANTHRO OF CHINA","3","CCD","Anthropology"
"01:070:303","WEALTH AND CULTURE","3","CCD","Anthropology"
"01:082:230","LATINX ART","3","CCD","Art History"
"01:082:332","AFRICAN AMERICAN ART","3","AHp,CCD","Art History"
"01:090:140","SAS CORE - CCD - CONTEMPORARY CHALLENGES- DIVERSITIES AND SOCIAL INEQUALITIES","3","CCD","Arts and Sciences"
"01:098:262","ASIAN AMER EXPER","3","CCD","Asian Studies"
"01:175:321","WORLD CINEMA II","3","AHp,CCD,CCO","Cinema Studies"
"01:185:253","HUMAN NATURE AND HUMAN DIVERSITY","4","AHo,CCD,CCO","Cognitive Science"
"01:195:206","BANNED BOOKS","4","AHo,CCD","Comparative Literature"
"01:195:220","OUR WORLD: SOCIAL JUSTICE AND THE ENVIRONMENT","3","AHo,CCD","Comparative Literature"
"01:195:270","PAST TODAY","3","AHo,AHp,CCD,CCO","Comparative Literature"
"01:195:303","INTRODUCTION TO TRANSLATION STUDIES","3","CCD","Comparative Literature"
"01:195:307","INTRO. TO POSTCOLONIAL LITERATURES & THEORIES","3","AHo,AHp,CCD,CCO","Comparative Literature"
"01:195:321","WORLD CINEMA II","3","AHp,CCD,CCO","Comparative Literature"
"01:195:363","WOMEN WRITERS OF AFRICA","3","AHp,CCD","Comparative Literature"
"01:195:373","JUSTICE AND VIOLENCE","3","AHo,CCD","Comparative Literature"
"01:202:315","RACE, INTERNATIONAL LAW AND EMPIRE","3","CCD","Criminal Justice"
"01:354:321","WORLD CINEMA II","3","AHp,CCD,CCO","English - Film Studies"
"01:420:161","BELONGING IN FRANCOPHONE LITERATURE AND FILM","3","CCD,WCd","French"
"01:420:271","FRANCOPHILIA: LITERATURE AND SEXUALITY IN MODERN FRANCE","3","CCD,WCd","French"
"01:420:313","GENDER AND SEXUALITY IN MODERN FRANCE AND THE FRANCOPHONE WORLD","3","CCD,WCd","French"
"01:450:361","FEMINIST GEOGRAPHIES","3","CCD","Geography"
