"Course ID","Course Title","Credits","Core Code","Subject"
"01:013:111","THE BIBLE IN ARAMAIC","3","AHp,HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:120","LITERARY EGYPT","3","HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:130","COMICS IN THE MIDDLE EAST","3","HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:208","JEWISH-MUSLIM RELATIONS: HISTORY AND CULTURE","3","HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:217","AFRICAN IMMIGRANT LITERATURE","3","CCD,HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:220","INTRODUCTION TO THE QUR'AN","3","HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:308","MINORITIES IN THE MIDDLE EAST","3","CCD,HST","African, Middle Eastern, and South Asian Languages and Literatures"
"01:014:265","AFRO-BRAZILIAN HISTORY","3","HST","Africana Studies"
"01:014:370","AFRO-ATLANTIC DIASPORA","3","HST","Africana Studies"
"01:016:220","ANCIENT AFRICA","3","HST,SCL","African Studies"
"01:016:222","MODERN AFRICA","3","HST,SCL","African Studies"
"01:050:223","LEARNING FROM THE PAST: EARLY AMERICA AND THE 21ST CENTURY","3","CCD,HST","American Studies"
"01:050:253","ASIAN AMERICAN HISTORY","3","HST","American Studies"
"01:050:272","AMERICAN FOOD, PAST AND PRESENT","3","HST","American Studies"
"01:050:344","ISLAM IN/AND AMERICA","3","HST","American Studies"
"01:070:102","INTRODUCTION TO HUMAN EVOLUTION","4","HST,NS","Anthropology"
"01:070:105","INTRO TO ARCHAEOLOGY","4","HST","Anthropology"
"01:070:112","WORLD PREHISTORY","3","HST","Anthropology"
"01:070:243","ANTHRO OF AFRICA","3","HST,SCL","Anthropology"
"01:070:283","FRENCH GASTRONOMY AND GLOBAL FOOD CULTURE","3","CCO,HST","Anthropology"
"01:082:105","INTRODUCTION TO ART HISTORY: PREHISTORY TO 1400","3","AHp,HST","Art History"
"01:082:106","INTRODUCTION TO ART HISTORY:1400 TO THE PRESENT","3","AHp,HST","Art History"
"01:082:107","SURVEY OF NON-WESTERN ART","3","AHp,HST","Art History"
"01:082:214","RENAISSANCE ART IN EUROPE","3","AHp,HST","Art History"
"01:082:277","ART AND MEDICINE","3","AHp,HST","Art History"
"01:090:144","SAS CORE - HST - AREAS OF INQUIRY - HISTORICAL ANALYSIS","3","HST","Arts and Sciences"
"01:098:241","EAST ASIAN CIVILIZATIONS:PREMODERN ERA","3","HST,SCL,WCd,WCr","Asian Studies"
"01:098:250","GLOBAL EAST ASIA","4","CCO,HST,SCL","Asian Studies"
"01:098:252","SOUTHEAST ASIA AND THE WORLD","3","HST,SCL","Asian Studies"
"01:165:215","INTRODUCTION TO CHINESE CIVILIZATION","3","AHp,HST","Chinese"
"01:165:220","CHINESE CLASSICS & THOUGHT:CONFUCIANISM,DAOISM & BUDDHISM","3","AHo,HST","Chinese"
"01:190:205","GREEK CIVILIZATION","3","AHo,AHp,HST","Classics"
"01:190:206","ROMAN CIVILIZATION","3","AHo,AHp,HST","Classics"
"01:190:211","GREEK AND ROMAN RELIGION","3","AHo,HST","Classics"
"01:190:213","SCIENCE AND TECHNOLOGY IN ANCIENT GREECEAND ROME","3","HST","Classics"
"01:190:214","SEXUALITY IN ANCIENT GREECE AND ROME","3","AHp,HST","Classics"
"01:190:215","INTRO TO GREEK AND ROMAN ARCHAEOLOGY","3","AHp,HST","Classics"
"01:190:309","GREEK&ROMN ATHLETICS","3","HST","Classics"
"01:195:282","MUSIC, CULTURE, AND MEMORY IN THE FRENCH SPEAKING WORLD","3","AHr,HST","Comparative Literature"
"01:195:374","MARX,NIETZSCHE,FREUD","3","AHo,HST","Comparative Literature"
"01:420:282","MUSIC, CULTURE, AND MEMORY IN THE FRENCH SPEAKING WORLD","3","AHr,HST","French"
"01:420:283","FRENCH GASTRONOMY AND GLOBAL FOOD CULTURE","3","CCO,HST","French"
"01:450:103","HUMAN GEOGRAPHY: SPACE, PLACE, & LOCATION","3","HST,SCL","Geography"
"01:450:205","WORLD CULTURAL REGIONS","3","HST,SCL","Geography"
"01:450:211","ENVIRONMENT, SOCIETY & JUSTICE","3","HST,SCL","Geography"
"01:450:336","LATIN AMERICA","3","HST","Geography"
"01:470:371","MARX,NIETZSCHE,FREUD","3","AHo,HST","German"
"01:489:205","HISTORY OF THE BYZANTINE EMPIRE","3","HST","Greek, Modern"
"01:506:101","WORLD HISTORY I","3","HST","History - General/Comparative"
"01:506:102","WORLD HISTORY II","3","HST","History - General/Comparative"
"01:506:110","AGE OF EUROPEAN GLOBAL EXPANSION","3","HST","History - General/Comparative"
"01:506:112","PATTERNS IN CIV:LOVE","3","HST,SCL","History - General/Comparative"
"01:506:114","WLD CIV:EUR AFR AMER","3","HST,SCL","History - General/Comparative"
"01:506:115","WORLD WAR II IN WORLD HISTORY","3","HST","History - General/Comparative"
"01:506:151","HISTORY & THE NEWS","3","CCO,HST","History - General/Comparative"
"01:506:203","ASIA AND THE PACIFIC","3","HST","History - General/Comparative"
"01:506:210","SEX AND POWER","3","HST","History - General/Comparative"
"01:506:215","THE MODERN GIRL","3","HST","History - General/Comparative"
"01:506:216","LAW AND HISTORY","3","CCD,HST","History - General/Comparative"
"01:506:218","TERRORISM","3","CCO,HST","History - General/Comparative"
"01:506:220","PIRACY: A GLOBAL HISTORY","3","HST","History - General/Comparative"
"01:506:226","INTERNATIONAL HEALTH","3","CCO,HST","History - General/Comparative"
"01:506:233","HISTORY OF THE FUTURE","3","CCO,HST","History - General/Comparative"
"01:506:247","THE SEAS AROUND US: OCEAN HISTORY IN GLOBAL PERSPECTIVE","3","HST","History - General/Comparative"
"01:506:249","CLIMATE POLITICS: A DEEP HISTORY","3","CCO,HST","History - General/Comparative"
"01:506:250","SCIENCE, COLLECTING, AND POWER","3","CCO,HST","History - General/Comparative"
"01:506:251","SCIENCE & SOCIETY","3","HST","History - General/Comparative"
"01:506:255","SCIENCE, NATURE, AND EMPIRE","3","CCO,HST","History - General/Comparative"
"01:506:260","WARS, WAYFARERS AND THE WALL: A HISTORY OF THE U.S. - MEXICAN BORDER","3","CCO,HST","History - General/Comparative"
"01:506:271","JEWISH HISTORY I: ANCIENT AND MEDIEVAL","3","HST","History - General/Comparative"
