"Course ID","Course Title","Credits","Core Code","Subject"
" "," "," "," "," "
"01:013:401","SENIOR SEMINAR IN LITERATURE AND SOCIETY","3","WCd","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:430","GENDER,NATION & LITERATURE IN SOUTH ASIA","3","WCd","African, Middle Eastern, and South Asian Languages and Literatures"
"01:013:445","STORYTELLING IN THE MUSLIM WORLD","3","WCd","African, Middle Eastern, and South Asian Languages and Literatures"
"01:014:490","SEMINAR IN AFRICANA STUDIES","3","WCd,WCr","Africana Studies"
"01:050:310","METHODS AND PRACTICES IN AMERICAN STUDIES","3","WCd","American Studies"
"01:050:389","SEMINAR IN AMERICAN STUDIES","3","WCd,WCr","American Studies"
"01:070:207","PREHISTORIC ARCHAEOLOGY OF EUROPE","3","WCd,WCr","Anthropology"
"01:070:284","BREAKING THE GLASS CEILING: WOMEN RELIGIOUS LEADERS","3","WCd","Anthropology"
"01:070:321","LATINO ETHNOGRAPHY","3","WCd,WCr","Anthropology"
"01:070:417","WRITING ETHNOGRAPHY","3","WCd,WCr","Anthropology"
"01:082:253","CONTEMP PHOTOGRAPHY","3","AHp,WCd,WCr","Art History"
"01:082:316","MEXICAN ART ACROSS BORDERS","3","WCd,WCr","Art History"
"01:082:491","CAPSTONE IN ART HISTORY","3","WCd","Art History"
"01:082:492","CAPSTONE IN ART HISTORY","3","WCd","Art History"
"01:090:292","INTERDISCIPLINARY HONORS SEMINAR","3","WCd","Arts and Sciences"
"01:090:293","INTERDISCIPLINARY HONORS SEMINAR","3","WCd","Arts and Sciences"
"01:090:294","INTERDISCIPLINARY HONORS SEMINAR","3","WCd","Arts and Sciences"
"01:090:295","INTERDISCIPLINARY HONORS SEMINAR","3","WCd","Arts and Sciences"
"01:090:296","INTERDISCIPLINARY HONORS SEMINAR","3","WCd","Arts and Sciences"
"01:090:297","INTERDISCIPLINARY HONORS SEMINAR","3","WCd","Arts and Sciences"
"01:098:241","EAST ASIAN CIVILIZATIONS:PREMODERN ERA","3","HST,SCL,WCd,WCr","Asian Studies"
"01:098:444","SEMINAR ON EAST ASIAN SOCIETIES","3","WCd,WCr","Asian Studies"
"01:146:405","HONORS SEMINAR","3","WCd","Cell Biology and Neuroscience"
"01:165:310","MODERN CHINESE LITERATURE IN TRANSLATION","3","AHp,WCd","Chinese"
"01:175:349","CONTEMPORARY GERMAN & EUROPEAN CINEMA","3","AHp,WCd","Cinema Studies"
