"Course ID","Course Title","Credits","Core Code","Subject"
"01:014:490","SEMINAR IN AFRICANA STUDIES","3","WCd,WCr","Africana Studies"
"01:050:240","LATINO LITERATURE AND CULTURE","3","AHo,WCr","American Studies"
"01:050:389","SEMINAR IN AMERICAN STUDIES","3","WCd,WCr","American Studies"
"01:070:207","PREHISTORIC ARCHAEOLOGY OF EUROPE","3","WCd,WCr","Anthropology"
"01:070:321","LATINO ETHNOGRAPHY","3","WCd,WCr","Anthropology"
"01:070:417","WRITING ETHNOGRAPHY","3","WCd,WCr","Anthropology"
"01:082:253","CONTEMP PHOTOGRAPHY","3","AHp,WCd,WCr","Art History"
"01:082:316","MEXICAN ART ACROSS BORDERS","3","WCd,WCr","Art History"
"01:090:322","PEDAGOGY OF PEER-LED LEARNING","3","WCr","Arts and Sciences"
"01:098:241","EAST ASIAN CIVILIZATIONS:PREMODERN ERA","3","HST,SCL,WCd,WCr","Asian Studies"
"01:098:444","SEMINAR ON EAST ASIAN SOCIETIES","3","WCd,WCr","Asian Studies"
"01:175:420","SEMINAR: FILM THEORY","3","WCr","Cinema Studies"
"01:190:323","CRIMINALS AND SAINTS: POWER IN GREEK POLITICAL LIFE AND IMAGINATION","3","WCd,WCr","Classics"
"01:195:120","GLOBAL SCIENCE FICTION","3","WCr","Comparative Literature"
"01:195:203","MASTERWORKS OF WESTERN LITERATURE","3","AHp,WCd,WCr","Comparative Literature"
"01:195:204","MASTERWORKS OF WORLD LITERATURE","3","AHp,WCd,WCr","Comparative Literature"
"01:195:235","DETECTIVE STORIES","3","AHp,WCr","Comparative Literature"
"01:195:295","LATINO AND CARIBBEAN CULTURAL STUDIES","3","AHp,WCr","Comparative Literature"
"01:195:345","SERIAL STORYTELLING ACROSS MEDIA","3","WCr","Comparative Literature"
"01:351:452","SEM-SPC TPC AMER LIT","3","WCr","English - Creative Writing"
"01:351:460","SEM-COLONIAL&POST CL","3","WCr","English - Creative Writing"
"01:351:491","SEM-SPC TPC IN LIT","3","WCr","English - Creative Writing"
"01:353:491","SEMINAR: TOPICS IN LITERARY THEORY","3","WCr","English - Literary Theory"
"01:354:410","SEM IN FILM STUDIES","3","WCr","English - Film Studies"
"01:354:420","SEMINAR: FILM THEORY","3","WCr","English - Film Studies"
"01:355:101","COLLEGE WRITING","3","WC,WCr","English - Composition and Writing"
"01:355:201","RESEARCH IN DISCIPLINES","3","WCd,WCr","English - Composition and Writing"
"01:355:202","TECHNICAL WRITING ESSENTIALS","3","WCr","English - Composition and Writing"
"01:355:203","BUSINESS WRITING ESSENTIALS","3","WCr","English - Composition and Writing"
"01:355:301","COLLEGE WRITING FOR TRANSFER STUDENTS","3","WCd,WCr","English - Composition and Writing"
"01:355:302","SCIENTIFIC AND TECHNICAL WRITING","3","WCd,WCr","English - Composition and Writing"
"01:355:303","WRITING FOR BUSINESS AND THE PROFESSIONS","3","WCd,WCr","English - Composition and Writing"
"01:355:312","WRTG FOR BIO&NAT SCI","3","WCd,WCr","English - Composition and Writing"
"01:355:315","WRTG GRANT PROPOSALS","3","WCd,WCr","English - Composition and Writing"
"01:355:322","WRTG FOR ENGINEERS","3","WCd,WCr","English - Composition and Writing"
"01:355:342","SCIENCE WRITING","3","WCd,WCr","English - Composition and Writing"
"01:355:352","WRTG AS A NATURALIST","3","WCd,WCr","English - Composition and Writing"
"01:355:355","WRTG IN PROFESSIONS","3","WCd,WCr","English - Composition and Writing"
"01:355:375","COLLAB WRTG PRACTICE","3","WCd,WCr","English - Composition and Writing"
"01:355:410","COMPOSING GRAPHIC NARRATIVES","3","AHr,WCd,WCr","English - Composition and Writing"
"01:355:425","WEB AUTHORING","3","WCd,WCr","English - Composition and Writing"
"01:358:412","SEMINAR: OLD ENGLISH LANGUAGE AND LITERATURE","3","WCr","English - Literature"
"01:358:422","SEMINAR: TOPICS IN MEDIEVAL LITERATURE &CULTURE","3","WCr","English - Literature"
"01:358:424","SEMINAR:SPENSER","3","WCr","English - Literature"
"01:358:426","SEMINAR:SHAKESPEARE","3","WCr","English - Literature"
"01:358:434","SEMINAR: TOPICS IN RENAISSANCE LITERATURE AND CULTURE","3","WCr","English - Literature"
"01:358:435","SEMINAR: TOPICS IN RESTORATION AND 18TH-CENTURY LITERATURE AND CULTURE","3","WCr","English - Literature"
"01:358:436","SEMINAR: TOPICS IN 19TH-CENTURY LITERATURE AND CULTURE","3","WCr","English - Literature"
"01:358:437","SEMINAR: TOPICS IN 20TH-CENTURY LITERATURE AND CULTURE","3","WCr","English - Literature"
"01:358:442","SEMINAR: TOPICS IN 19TH-CENTURY AMERICANLITERATURE AND CULTURE","3","WCr","English - Literature"
"01:358:445","SEMINAR: TOPICS IN BLACK LITERATURE & CULTURE","3","WCr","English - Literature"
"01:358:452","SEMINAR: SPECIAL TOPICS IN AMERICAN LITERATURE","3","WCr","English - Literature"
"01:358:460","SEMINAR:TOPICS IN COLONIAL &POSTCOLONIALLITERATURE","3","WCr","English - Literature"
"01:358:491","SEMINAR: SPECIAL TOPICS IN LITERATURE","3","WCr","English - Literature"
"01:359:209","INTRODUCTION TO HEALTH, MEDICINE, AND LITERATURE","3","AHp,WCr","English - Theories and Methods"
"01:359:410","SEMINAR: TOPICS IN LITERARY THEORY","3","WCr","English - Theories and Methods"
"01:359:435","SEMINAR: TOPICS IN FEMINIST THEORY","3","WCr","English - Theories and Methods"
"01:359:460","SEMINAR: MEDIA THEORY","3","WCr","English - Theories and Methods"
"01:420:281","FRENCH AND FRANCOPHONE TEXT(S) AND IMAGE(S)","3","AHp,WCd,WCr","French"
"01:447:410","RESEARCH IN GENETICS - WRITING INTENSIVE","3","WCd,WCr","Genetics"
"01:447:414","THESIS WRITING AND COMMUNICATION IN GENETICS","1.5","WCr","Genetics"
"01:447:430","EFFECTIVE COMUNICATION SKILLS IN GENETICS","3","WCd,WCr","Genetics"
"01:470:301","INTR LIT&CULT ANALYS","3","AHp,WCd,WCr","German"
"01:470:302","INTR LIT&CULT ANALYS","3","AHp,WCd,WCr","German"
"01:506:401","HISTORY SEMINAR","3","WCd,WCr","History - General/Comparative"
"01:510:319","AGE OF REFORMATION","3","WCd,WCr","History"
"01:510:351","MEDIEVAL ITALY, 476-1300","3","WCd,WCr","History"
"01:512:329","TECHNOLOGY & NATURE IN AMERICAN HISTORY","3","WCd,WCr","History - American"
"01:560:250","WRITING WORKSHOP","3","AHq,WCd,WCr","Italian"
"01:560:496","HONORS IN ITALIAN","3","WCd,WCr","Italian"
"01:563:464","RESEARCH AND WRITING IN JEWISH STUDIES","3","WCd,WCr","Jewish Studies"
"01:574:210","INTRODUCTION TO KOREAN CULTURE","3","AHo,HST,WCr","Korean"
"01:595:240","LATINO LITERATURE AND CULTURE","3","AHo,WCr","Latino and Hispanic Caribbean Studies"
"01:595:295","LAT/CARIB CULT STDYS","3","AHp,WCr","Latino and Hispanic Caribbean Studies"
"01:595:307","LATINO ETHNOGRAPHY","3","WCd,WCr","Latino and Hispanic Caribbean Studies"
"01:595:316","MEXICAN ART ACROSS BORDERS","3","WCd,WCr","Latino and Hispanic Caribbean Studies"
"01:595:333","CARIBBEAN RELIGION","3","CCO,SCL,WCr","Latino and Hispanic Caribbean Studies"
"01:730:104","INTRODUCTION TO PHILOSOPHY - WRITING INTENSIVE","4","AHo,WCd,WCr","Philosophy"
"01:730:397","JUNIOR ADVANCED SEMINAR","3","WCd,WCr","Philosophy"
"01:790:379","WRITING WITH REVISIONS IN POLITICAL SCIENCE","3","WCr","Political Science"
"01:790:483","CRITICAL THINKING AND ANALYTIC WRITING FOR THE INTELLIGENCE COMMUNITY","3","WCd,WCr","Political Science"
"01:830:302","SENSATION AND PERCEPTION LABORATORY","1","WCd,WCr","Psychology"
"01:830:306","COGNITION LABORATORY","1","WCd,WCr","Psychology"
"01:830:312","LEARNING PROCESSES LABORATORY","1","WCd,WCr","Psychology"
"01:830:314","PHYSIO PSYCH LAB","1","WCd,WCr","Psychology"
"01:830:323","RESEARCH METHODS IN SOCIAL PSYCHOLOGY","4","WCd,WCr","Psychology"
"01:830:332","INFANT AND CHILD DEVELOPMENT LABORATORY","1","WCd,WCr","Psychology"
"01:830:341","ABNORMAL PYSCHOLOGY LABORATORY","1","WCd,WCr","Psychology"
"01:840:305","APOCALYPSE NOW? RELIGIOUS MOVEMENTS AND THE END OF TIME","3","HST,WCd,WCr","Religion"
"01:840:311","CHRISTIANS, THE OTHER, AND VIOLENCE","3","WCr","Religion"
"01:840:314","ORIGINS OF WESTERN MORALITY","3","HST,WCd,WCr","Religion"
"01:840:316","20TH CENTURY EVANGELICALISM IN THE U.S.","3","HST,WCd,WCr","Religion"
"01:840:318","CNTMP CATHOLIC THEOL","3","WCd,WCr","Religion"
"01:840:319","RELIGION IN AMERICAN HISTORY","3","HST,WCd,WCr","Religion"
